"Date","Open","High","Low","Close"
"31 Dec 2021","-","-","-","29138.95"
"31 Dec 2021","28727.75","29230.5","28719.05","29138.95"
"30 Dec 2021","-","-","-","28667.25"
"30 Dec 2021","28452.4","28731.15","28385.1","28667.25"
"29 Dec 2021","-","-","-","28458.75"
"29 Dec 2021","28422.3","28569.6","28361.7","28458.75"
"28 Dec 2021","-","-","-","28441.45"
"28 Dec 2021","28154.15","28492.3","28143.45","28441.45"
"27 Dec 2021","-","-","-","28054.65"
"27 Dec 2021","27835.75","28094.75","27623.05","28054.65"
"24 Dec 2021","-","-","-","27919.50"
"24 Dec 2021","28196.2","28196.55","27841.55","27919.50"
"23 Dec 2021","-","-","-","28078.60"
"23 Dec 2021","27963.15","28150.45","27898.8","28078.60"
"22 Dec 2021","-","-","-","27785.65"
"22 Dec 2021","27804.75","27892.5","27701.5","27785.65"
"21 Dec 2021","-","-","-","27637.25"
"21 Dec 2021","27235.8","27764.35","27218.3","27637.25"
"20 Dec 2021","-","-","-","27080.40"
"20 Dec 2021","27422.75","27447.15","26684.05","27080.40"
"17 Dec 2021","-","-","-","27697.85"
"17 Dec 2021","28214.65","28263.35","27576.2","27697.85"
"16 Dec 2021","-","-","-","28334.95"
"16 Dec 2021","28381.3","28497","28195.7","28334.95"
"15 Dec 2021","-","-","-","28234.30"
"15 Dec 2021","28400.75","28473.95","28157.6","28234.30"
"14 Dec 2021","-","-","-","28357.25"
"14 Dec 2021","28496.5","28503.45","28133.95","28357.25"
"13 Dec 2021","-","-","-","28511.70"
"13 Dec 2021","28670.9","28908.35","28479.2","28511.70"
"10 Dec 2021","-","-","-","28570.50"
"10 Dec 2021","28718.75","28719.1","28349.45","28570.50"
"09 Dec 2021","-","-","-","28629.80"
"09 Dec 2021","28883.05","28913.95","28518.2","28629.80"
"08 Dec 2021","-","-","-","28742.45"
"08 Dec 2021","28566.85","28778.05","28538.6","28742.45"
"07 Dec 2021","-","-","-","28507.50"
"07 Dec 2021","28085.75","28542.7","27973.6","28507.50"
"06 Dec 2021","-","-","-","27967.75"
"06 Dec 2021","28345.15","28441.3","27905.65","27967.75"
"03 Dec 2021","-","-","-","28319.70"
"03 Dec 2021","28481.4","28599.05","28272.45","28319.70"
"02 Dec 2021","-","-","-","28395.50"
"02 Dec 2021","28248.2","28493.75","28178.85","28395.50"
"01 Dec 2021","-","-","-","28160.50"
"01 Dec 2021","28485.45","28642.95","28058.55","28160.50"
"30 Nov 2021","-","-","-","28282.10"
"30 Nov 2021","27730.85","28488.2","27707.75","28282.10"
"29 Nov 2021","-","-","-","27663.30"
"29 Nov 2021","27349.55","27733.45","26664.45","27663.30"
"26 Nov 2021","-","-","-","27610.95"
"26 Nov 2021","28428.8","28436.6","27551.95","27610.95"
"25 Nov 2021","-","-","-","28642.40"
"25 Nov 2021","28393","28673.05","28304.4","28642.40"
"24 Nov 2021","-","-","-","28463.10"
"24 Nov 2021","28726.45","28807.85","28308.45","28463.10"
"23 Nov 2021","-","-","-","28594.60"
"23 Nov 2021","28249.75","28691.65","28172.3","28594.60"
"22 Nov 2021","-","-","-","28476.45"
"22 Nov 2021","29430.35","29430.8","28147.35","28476.45"
"18 Nov 2021","-","-","-","29337.35"
"18 Nov 2021","29550.6","29776.75","29157.45","29337.35"
"17 Nov 2021","-","-","-","29576.20"
"17 Nov 2021","29736","29873.8","29503.3","29576.20"
"16 Nov 2021","-","-","-","29778.15"
