"Date","Open","High","Low","Close"
"31 Dec 2021","17078.8","17306.6","17076.25","17260.20"
"30 Dec 2021","17062.9","17091.95","16985.15","17047.60"
"29 Dec 2021","17123.45","17188.45","17021","17073.75"
"28 Dec 2021","17133.9","17161.15","17032.7","17110.20"
"27 Dec 2021","16779.35","17051.2","16671.95","17025.95"
"24 Dec 2021","17095.35","17099.8","16798.35","16874.70"
"23 Dec 2021","16998.8","17105.75","16964.15","17032.20"
"22 Dec 2021","16852.4","16906.95","16759.8","16877.95"
"21 Dec 2021","16855.75","16950.5","16656.5","16755.90"
"20 Dec 2021","16959.55","16984.4","16416.45","16656.95"
"17 Dec 2021","17562.5","17598.05","17115.8","17151.10"
"16 Dec 2021","17795.2","17825.5","17520.7","17594.55"
"15 Dec 2021","17831.3","17877.15","17631.35","17651.70"
"14 Dec 2021","17877.7","17907.55","17684","17831.20"
"13 Dec 2021","18195.9","18270.65","17950.9","17967.00"
"10 Dec 2021","18086.4","18120","17968.1","18101.50"
"09 Dec 2021","18228.35","18245.5","18034.7","18113.50"
"08 Dec 2021","18031.65","18192.25","18013.35","18178.65"
"07 Dec 2021","17718.1","17958.5","17646.65","17887.20"
"06 Dec 2021","17776.25","17813.45","17536.8","17558.95"
"03 Dec 2021","17913.6","18036","17714.25","17752.65"
"02 Dec 2021","17681.65","17964.45","17648.8","17932.85"
"01 Dec 2021","17573.45","17726.35","17539.45","17691.70"
"30 Nov 2021","17421.7","17866.3","17388.8","17455.20"
"29 Nov 2021","17521.2","17608.15","17153.95","17477.20"
"26 Nov 2021","17955.7","17996.65","17474.8","17518.35"
"25 Nov 2021","18211.1","18232.75","18069.05","18186.70"
"24 Nov 2021","18267","18448.8","18153.9","18230.25"
"23 Nov 2021","17969.1","18296","17935.2","18227.20"
"22 Nov 2021","18622.45","18644.05","17967.85","18138.25"
"18 Nov 2021","18677.4","18774","18534.4","18568.30"
"17 Nov 2021","18697.85","18857.5","18645.05","18673.65"
"16 Nov 2021","18929.25","18951.3","18747.95","18784.40"
"15 Nov 2021","19048.2","19102.5","18859.4","18927.35"
"12 Nov 2021","18884.25","19005.7","18788.85","18992.55"
"11 Nov 2021","18987.3","18996.85","18720.9","18793.35"
"10 Nov 2021","18985.3","19072.5","18925.45","19041.25"
"09 Nov 2021","19201.05","19210.85","18999.2","19071.65"
"08 Nov 2021","19034.5","19226.65","18895.6","19183.75"
"04 Nov 2021","18975.4","18980.7","18907.2","18928.20"
"03 Nov 2021","18989.2","19110.45","18758.15","18860.55"
"02 Nov 2021","18847.25","18977","18803.85","18938.35"
"01 Nov 2021","18748.75","18867.55","18523.75","18805.90"
"29 Oct 2021","18765.6","18857.75","18395.5","18614.85"
"28 Oct 2021","19262.45","19275.35","18714.1","18776.95"
"27 Oct 2021","19356.35","19440.8","19208.1","19262.85"
"26 Oct 2021","19157.55","19371.55","19150.5","19324.10"
"25 Oct 2021","19243.85","19378.95","19031.95","19195.65"
"22 Oct 2021","19081.8","19282.1","18978.45","19047.70"
"21 Oct 2021","18935.15","19055.25","18787.65","19004.70"
"20 Oct 2021","19015.2","19041.2","18746.25","18831.30"
"19 Oct 2021","19103.25","19154.6","18896.65","19002.20"
"18 Oct 2021","19143.55","19143.55","18957.95","18996.00"
"14 Oct 2021","18668.6","18908.7","18650.65","18891.75"
"13 Oct 2021","18675.8","18718.8","18610.9","18635.60"
"12 Oct 2021","18497","18618.9","18471.05","18578.80"
"11 Oct 2021","18367.75","18617.4","18357.05","18530.85"
"08 Oct 2021","18509.2","18519.15","18307.1","18321.10"
"07 Oct 2021","18543","18557.1","18426.6","18441.80"
"06 Oct 2021","18523.65","18623.95","18343.4","18372.85"
"05 Oct 2021","18364.25","18506.4","18328.4","18485.15"
"04 Oct 2021","18301.7","18476.4","18279.45","18410.95"
"01 Oct 2021","18221.55","18230.8","18090.15","18205.40"
"30 Sep 2021","18393","18471.5","18286.35","18328.60"
"29 Sep 2021","18361.55","18457.85","18262.45","18404.10"
"28 Sep 2021","18754.4","18768.3","18288.7","18508.40"
"27 Sep 2021","18762.5","18828.45","18650.2","18685.80"
"24 Sep 2021","18737.5","18779.45","18604.6","18677.90"
"23 Sep 2021","18429.85","18682.8","18386.3","18657.95"
"22 Sep 2021","18379.95","18402.55","18242.2","18277.85"
"21 Sep 2021","18271.45","18404.8","18004.7","18375.70"
"20 Sep 2021","18355.5","18543.65","18177.05","18219.85"
"17 Sep 2021","18616.75","18736.6","18402.15","18548.85"
"16 Sep 2021","18326.45","18516.4","18270.35","18497.85"
"15 Sep 2021","18233.1","18350.55","18229.55","18317.50"
"14 Sep 2021","18360","18384.8","18241.75","18257.95"
"13 Sep 2021","18279.15","18315.65","18130.8","18280.30"
"09 Sep 2021","18314.55","18390.8","18221.55","18290.50"
"08 Sep 2021","18281.2","18395.75","18226.8","18365.75"
"07 Sep 2021","18240.3","18334.35","18061.7","18259.10"
"06 Sep 2021","18359.45","18371.45","18216.1","18236.10"
"03 Sep 2021","18325.55","18458.6","18175.9","18286.20"
"02 Sep 2021","18175.55","18354.9","18130.6","18333.65"
"01 Sep 2021","18205.65","18338.45","18125.1","18163.50"
"31 Aug 2021","17942.5","18197.75","17897.55","18170.60"
"30 Aug 2021","17741.55","17978.5","17726.85","17955.20"
"27 Aug 2021","17511.5","17654.9","17431.7","17638.40"
"26 Aug 2021","17448.7","17538.15","17416.65","17511.35"
"25 Aug 2021","17565.75","17629.65","17424.7","17457.60"
"24 Aug 2021","17285.25","17539.3","17182.55","17522.30"
"23 Aug 2021","17352.5","17353.35","17088.25","17243.95"
"20 Aug 2021","17177.85","17314.75","17135.25","17196.90"
"18 Aug 2021","17517.6","17561.25","17305.55","17344.20"
"17 Aug 2021","17415.8","17425.9","17268.5","17396.85"
"16 Aug 2021","17334.9","17473.4","17304","17452.30"
"13 Aug 2021","17321","17412.6","17306.85","17365.05"
"12 Aug 2021","17202.4","17311.4","17164.2","17296.70"
"11 Aug 2021","17337.15","17341.1","17024.1","17194.15"
"10 Aug 2021","17300.05","17385.9","17199.8","17277.65"
"09 Aug 2021","17244.95","17375.35","17163.15","17284.35"
"06 Aug 2021","17283.6","17336.15","17217.65","17239.55"
"05 Aug 2021","17383.3","17391.65","17198.05","17274.75"
"04 Aug 2021","17055.6","17374.6","17035.35","17321.45"
"03 Aug 2021","16813.35","16998.65","16757.5","16982.60"
"02 Aug 2021","16751.6","16797.75","16692.05","16762.30"
"30 Jul 2021","16721","16744.5","16611.5","16636.85"
"29 Jul 2021","16675.3","16742.8","16630.05","16700.30"
"28 Jul 2021","16657.9","16667.95","16403.6","16615.75"
"27 Jul 2021","16686.25","16789.35","16604.75","16646.35"
"26 Jul 2021","16661.25","16705.8","16558.35","16639.15"
"23 Jul 2021","16607.05","16716.55","16484.55","16682.55"
"22 Jul 2021","16466.3","16644.8","16459.55","16595.70"
"20 Jul 2021","16540.15","16557.5","16333.1","16351.75"
"19 Jul 2021","16708.3","16780.7","16579.35","16629.70"
"16 Jul 2021","17026.1","17033.15","16935.5","16952.15"
"15 Jul 2021","16914.25","17027.5","16861.9","16982.25"
"14 Jul 2021","16894.6","16936.85","16814.55","16874.15"
"13 Jul 2021","16830.9","16922.9","16783.15","16911.35"
"12 Jul 2021","16757.35","16800.2","16664.05","16717.00"
"09 Jul 2021","16674.65","16705.45","16580","16679.30"
"08 Jul 2021","16843.1","16900.5","16651.35","16711.85"
"07 Jul 2021","16792.35","16897.95","16749.95","16884.10"
"06 Jul 2021","16636.75","16885.8","16635.15","16780.95"
"05 Jul 2021","16586.3","16660.8","16558.2","16651.60"
"02 Jul 2021","16477.65","16508.45","16405.6","16487.55"
"01 Jul 2021","16578.15","16578.15","16421.1","16434.50"
"30 Jun 2021","16613.75","16684.35","16504.45","16521.20"
"29 Jun 2021","16705.85","16718.05","16570.7","16604.50"
"28 Jun 2021","16835.95","16859","16691.95","16720.75"
"25 Jun 2021","16628.15","16797.6","16609.15","16775.75"
"24 Jun 2021","16574.2","16613.65","16508.65","16569.75"
"23 Jun 2021","16668.05","16674.2","16511.45","16527.65"
"22 Jun 2021","16667.85","16759.2","16559.55","16588.85"
"21 Jun 2021","16237.95","16590.55","16214","16564.20"
"18 Jun 2021","16524.25","16533.1","16136.4","16443.90"
"17 Jun 2021","16422","16562.15","16383.35","16444.30"
"16 Jun 2021","16694.8","16751.5","16597.1","16618.50"
"15 Jun 2021","16703","16740.9","16656.3","16705.45"
"14 Jun 2021","16643.55","16670.65","16368.45","16642.75"
"11 Jun 2021","16772.6","16796","16640.15","16678.85"
"10 Jun 2021","16519.8","16718.05","16443.2","16704.25"
"09 Jun 2021","16599.6","16677.3","16397.8","16474.15"
"08 Jun 2021","16656.8","16664.35","16508","16573.05"
"07 Jun 2021","16668.2","16676.55","16548.2","16632.90"
"04 Jun 2021","16646.15","16719.85","16556.1","16644.70"
"03 Jun 2021","16559.95","16633.5","16526.3","16620.85"
"02 Jun 2021","16379.15","16504.7","16328.15","16484.20"
"01 Jun 2021","16508.75","16576.55","16346.7","16417.50"
"31 May 2021","16315.5","16475.8","16209.65","16450.25"
"28 May 2021","16316.15","16405.55","16256.2","16310.45"
"27 May 2021","16230.7","16277.15","16085.55","16229.45"
"26 May 2021","16185.6","16256.1","16109.05","16212.50"
"25 May 2021","16329.4","16339.35","16056.55","16126.45"
"24 May 2021","16243.2","16346.1","16144.8","16248.70"
"21 May 2021","15899.55","16221.9","15891.6","16195.15"
"20 May 2021","15899.8","15945.65","15757.05","15784.80"
"19 May 2021","15937.55","16042.05","15829.15","15866.05"
"18 May 2021","15924.3","16057.45","15907.3","15994.90"
"17 May 2021","15465.45","15793.35","15416.05","15771.30"
"14 May 2021","15470.4","15502.85","15289.55","15363.85"
"12 May 2021","15599.85","15602.4","15401.1","15452.40"
"11 May 2021","15602.3","15741.25","15564","15648.45"
"10 May 2021","15743.15","15836.75","15693.85","15789.70"
"07 May 2021","15687.7","15722.85","15537.7","15644.25"
"06 May 2021","15499.35","15556.1","15419.5","15531.20"
"05 May 2021","15448.45","15473.7","15258.35","15440.80"
"04 May 2021","15503.1","15611.7","15286.85","15311.40"
"03 May 2021","15208.4","15464.85","15116.95","15413.50"
"30 Apr 2021","15601.1","15676.25","15375.8","15403.75"
"29 Apr 2021","15866","16009.6","15678.65","15806.50"
"27 Apr 2021","15316.7","15417.3","15249.9","15396.40"
"23 Apr 2021","14927.6","15238.7","14927.3","15116.80"
"22 Apr 2021","14674.35","15080.9","14605.15","15059.80"
"20 Apr 2021","15020.9","15118.55","14721.05","14822.05"
"19 Apr 2021","14743.9","14846.45","14537.8","14815.90"
"16 Apr 2021","15197.35","15287.65","15147.55","15176.80"
"15 Apr 2021","15102.05","15202.1","14847.95","15181.65"
"13 Apr 2021","14593.2","15073.2","14560.5","15050.90"
"12 Apr 2021","14963.95","14977.4","14448.15","14533.60"
"09 Apr 2021","15388.85","15468.2","15260.75","15301.35"
"08 Apr 2021","15521.3","15595.95","15358.2","15415.60"
"07 Apr 2021","15274","15505.9","15176.8","15451.45"
"06 Apr 2021","15286.1","15358.05","15103.25","15242.50"
"05 Apr 2021","15629.5","15635.7","15017.3","15185.15"
"01 Apr 2021","15614.05","15691","15416.35","15663.15"
"31 Mar 2021","15654.45","15655.85","15438.35","15488.20"
"30 Mar 2021","15601.1","15723.5","15556.45","15682.75"
"26 Mar 2021","15419.5","15538.35","15344.65","15457.10"
"25 Mar 2021","15421.7","15426.5","15036.4","15200.25"
"24 Mar 2021","15592.05","15635.25","15356.65","15374.20"
"23 Mar 2021","15651.45","15784.6","15570.35","15710.75"
"22 Mar 2021","15724.3","15752.9","15476.85","15597.50"
"19 Mar 2021","15458.85","15791.9","15326.9","15733.60"
"18 Mar 2021","15827.8","15905.4","15474.65","15565.25"
"17 Mar 2021","15963.75","15978.85","15656.6","15690.60"
"16 Mar 2021","16061.45","16095.7","15882.7","15909.70"
"15 Mar 2021","16211.25","16211.25","15738.55","15980.95"
"12 Mar 2021","16582.2","16582.2","16089.55","16181.95"
"10 Mar 2021","16435.15","16454.45","16277.3","16369.50"
"09 Mar 2021","16188.75","16391.85","16173.45","16328.70"
"08 Mar 2021","16150.35","16229.3","15961.55","16024.75"
"05 Mar 2021","16178.95","16244.3","15935.7","16053.10"
"04 Mar 2021","16265.9","16467.65","16213.2","16289.90"
"03 Mar 2021","16264.7","16591.9","16198.9","16558.75"
"02 Mar 2021","16114.4","16209.8","15938.8","16095.40"
"01 Mar 2021","15971.85","16115.8","15896.2","16023.90"
"26 Feb 2021","16246.55","16257.25","15689","15772.45"
"25 Feb 2021","16594.8","16740.5","16519.55","16539.30"
"24 Feb 2021","16092.15","16529.95","16071.8","16490.00"
"23 Feb 2021","16141.5","16247.55","16033.15","16070.50"
"22 Feb 2021","16376.55","16431.7","15988.1","16049.85"
"19 Feb 2021","16547.6","16649","16255.25","16369.95"
"18 Feb 2021","16838.8","16842.2","16563.1","16627.50"
"17 Feb 2021","16878.3","16964.05","16741.25","16785.90"
"16 Feb 2021","17041.55","17108.05","16791.85","16928.35"
"15 Feb 2021","16667.1","17033","16643.55","16990.70"
