"Date","Open","High","Low","Close"
"31 Dec 2021","2263.45","2274.6","2253.05","2263.45"
"30 Dec 2021","2241.55","2278.55","2234.35","2268.35"
"29 Dec 2021","2247.95","2257.35","2233.9","2240.10"
"28 Dec 2021","2236.8","2256","2234.5","2250.35"
"27 Dec 2021","2212.55","2228.15","2206.3","2223.80"
"24 Dec 2021","2266.3","2268.7","2215.7","2221.30"
"23 Dec 2021","2228","2264.85","2223","2260.80"
"22 Dec 2021","2210.65","2219.65","2193.7","2213.20"
"21 Dec 2021","2205.4","2228.5","2195.1","2215.95"
"20 Dec 2021","2246.4","2248","2166.35","2193.20"
"17 Dec 2021","2292.35","2294.2","2245.75","2259.10"
"16 Dec 2021","2310.5","2313.8","2285.75","2296.65"
"15 Dec 2021","2316","2333.9","2290","2295.30"
"14 Dec 2021","2282.25","2320.4","2281.85","2315.70"
"13 Dec 2021","2320.7","2338.95","2288.7","2292.25"
"10 Dec 2021","2301.9","2307.35","2282.5","2296.45"
"09 Dec 2021","2320.65","2325.25","2295.1","2302.90"
"08 Dec 2021","2306.35","2328.25","2306.35","2314.30"
"07 Dec 2021","2288.3","2308.2","2282.4","2300.85"
"06 Dec 2021","2306.95","2310.1","2266.45","2270.25"
"03 Dec 2021","2315.3","2342.9","2298.15","2302.20"
"02 Dec 2021","2275.15","2323.8","2263.2","2316.90"
"01 Dec 2021","2271.55","2293","2246.45","2274.85"
"30 Nov 2021","2248.05","2293.35","2237","2254.55"
"29 Nov 2021","2241.65","2266.75","2200.8","2236.80"
"26 Nov 2021","2324.9","2327","2259.2","2265.70"
"25 Nov 2021","2347","2358.25","2317.8","2350.00"
"24 Nov 2021","2324.45","2369.75","2323.45","2340.60"
"23 Nov 2021","2239.1","2309.25","2235.15","2304.40"
"22 Nov 2021","2299.75","2306.25","2236.45","2244.70"
"18 Nov 2021","2336.45","2341.25","2300","2304.85"
"17 Nov 2021","2326.65","2356.35","2322","2334.85"
"16 Nov 2021","2359.75","2359.75","2326.55","2330.95"
"15 Nov 2021","2345.2","2369.25","2337.85","2347.25"
"12 Nov 2021","2357.45","2357.75","2324.95","2338.90"
"11 Nov 2021","2351.45","2352.95","2319.75","2334.65"
"10 Nov 2021","2368.45","2376.1","2351.35","2354.15"
"09 Nov 2021","2380.55","2388.9","2362.7","2372.85"
"08 Nov 2021","2337","2373.55","2313.2","2368.75"
"04 Nov 2021","2322.9","2326.3","2315.5","2318.90"
"03 Nov 2021","2316.75","2336.25","2293.45","2307.65"
"02 Nov 2021","2333.35","2354.8","2312.1","2316.60"
"01 Nov 2021","2292.15","2330.1","2276.4","2322.95"
"29 Oct 2021","2268.35","2317.5","2226.95","2286.30"
"28 Oct 2021","2348.8","2370.7","2288.3","2295.55"
"27 Oct 2021","2406.35","2410.7","2367.95","2374.85"
"26 Oct 2021","2407.9","2408.45","2386.5","2401.70"
"25 Oct 2021","2403.05","2413.2","2381.4","2397.90"
"22 Oct 2021","2432.5","2437.25","2378.85","2393.60"
"21 Oct 2021","2443.6","2449.25","2405.5","2415.95"
"20 Oct 2021","2478.55","2478.55","2405.3","2417.65"
"19 Oct 2021","2541","2541.45","2462.6","2472.60"
"18 Oct 2021","2523","2547.1","2501.75","2521.40"
"14 Oct 2021","2479.15","2492.85","2468.3","2486.10"
"13 Oct 2021","2479","2496.1","2460.05","2466.60"
"12 Oct 2021","2494.2","2499.85","2448.3","2467.10"
"11 Oct 2021","2434.95","2487.9","2430","2481.65"
"08 Oct 2021","2440.35","2448.05","2400.1","2407.80"
"07 Oct 2021","2471.05","2472","2416.2","2420.40"
"06 Oct 2021","2484.1","2514.15","2435.45","2443.80"
"05 Oct 2021","2412.45","2465.95","2404.4","2461.35"
"04 Oct 2021","2394.7","2416.8","2371.55","2400.80"
"01 Oct 2021","2360.8","2401.2","2342","2367.10"
"30 Sep 2021","2384.65","2399.85","2348.4","2362.55"
"29 Sep 2021","2270.5","2387.85","2263.1","2371.95"
"28 Sep 2021","2221.25","2291.1","2217.15","2277.65"
"27 Sep 2021","2200.5","2211.7","2186.95","2206.10"
"24 Sep 2021","2216.5","2224.45","2171.75","2183.55"
"23 Sep 2021","2186.4","2211.3","2184.85","2207.50"
"22 Sep 2021","2154.3","2176","2148.65","2172.20"
"21 Sep 2021","2119.35","2156.2","2114.55","2151.85"
"20 Sep 2021","2116.7","2137.3","2101.5","2115.25"
"17 Sep 2021","2172.3","2178.85","2116.4","2143.20"
"16 Sep 2021","2176.55","2181.25","2159.8","2170.00"
"15 Sep 2021","2094.85","2170.6","2094.8","2166.00"
"14 Sep 2021","2076","2093.9","2071.2","2089.65"
"13 Sep 2021","2062.8","2075.55","2055.1","2072.75"
"09 Sep 2021","2041.5","2064.8","2035.3","2057.35"
"08 Sep 2021","2031.5","2047.95","2019.35","2043.20"
"07 Sep 2021","2058.55","2061.85","2038.7","2041.95"
"06 Sep 2021","2079.75","2081.7","2049.35","2053.20"
"03 Sep 2021","2044.5","2073.85","2042.4","2070.15"
"02 Sep 2021","2032.4","2039.9","2028.05","2034.90"
