"Date","Open","High","Low","Close"
"31 Dec 2021","18966.55","19246.8","18958.3","19225.80"
"30 Dec 2021","18981.35","19002.55","18907.15","18934.45"
"29 Dec 2021","18970.85","19018.25","18914.25","18966.65"
"28 Dec 2021","18911.95","19002.05","18885.15","18976.10"
"27 Dec 2021","18795.85","18854.35","18635.85","18817.55"
"24 Dec 2021","19034.2","19038.05","18803.05","18833.45"
"23 Dec 2021","18936","18990.95","18895.05","18949.35"
"22 Dec 2021","18716.65","18829.1","18713.9","18811.90"
"21 Dec 2021","18456.85","18759.6","18442.25","18649.80"
"20 Dec 2021","18543.7","18557.15","18127.1","18355.90"
"17 Dec 2021","19045.45","19073.2","18672.5","18705.30"
"16 Dec 2021","19195","19235.15","19025.15","19088.80"
"15 Dec 2021","19245.15","19268.25","19095.4","19130.65"
"14 Dec 2021","19210.2","19280.1","19128.8","19243.00"
"13 Dec 2021","19372","19425.45","19194.35","19220.75"
"10 Dec 2021","19133.2","19253.85","19101.1","19224.80"
"09 Dec 2021","19061.15","19155.25","18996.05","19136.65"
"08 Dec 2021","18808.4","18996.55","18805.95","18976.00"
"07 Dec 2021","18708.4","18835","18649.6","18751.30"
"06 Dec 2021","18854","18862.45","18539.95","18571.70"
"03 Dec 2021","18875.8","18945.05","18772.25","18813.90"
"02 Dec 2021","18752.15","18885.1","18691.8","18866.90"
"01 Dec 2021","18663.65","18746.05","18584.65","18727.10"
"30 Nov 2021","18644.85","18816.8","18452.75","18540.55"
"29 Nov 2021","18623.8","18673.15","18287.55","18614.35"
"26 Nov 2021","19087.65","19087.65","18643.7","18695.90"
"25 Nov 2021","19161.3","19244.75","19040.7","19206.60"
"24 Nov 2021","19374.4","19383.15","19104.75","19167.45"
"23 Nov 2021","19112.3","19393.05","19032.7","19357.05"
"22 Nov 2021","19388.15","19421.75","18894.85","19095.30"
"18 Nov 2021","19725.3","19737.1","19239.6","19308.20"
"17 Nov 2021","19667.7","19771.45","19633.8","19691.95"
"16 Nov 2021","19679.55","19796.65","19622.85","19700.55"
"15 Nov 2021","19575.4","19670.8","19524.85","19644.80"
"12 Nov 2021","19533.75","19585.3","19453.65","19544.10"
"11 Nov 2021","19574.05","19574.05","19351.55","19421.55"
