"Date","Open","High","Low","Close"
"31 Dec 2021","3814.5","3853.7","3810.2","3835.25"
"30 Dec 2021","3812.55","3828.55","3791.35","3817.75"
"29 Dec 2021","3834.7","3848.35","3808.2","3816.20"
"28 Dec 2021","3812.25","3844.35","3811.7","3838.65"
"27 Dec 2021","3771.9","3798.45","3755.05","3793.30"
"24 Dec 2021","3866.2","3868.4","3778.5","3786.45"
"23 Dec 2021","3807.1","3858.6","3802.5","3852.85"
"22 Dec 2021","3761","3786.3","3741.65","3782.50"
"21 Dec 2021","3741.45","3777","3727.95","3759.50"
"20 Dec 2021","3815","3818.7","3676.3","3715.10"
"17 Dec 2021","3915.85","3918.4","3826.3","3846.45"
"16 Dec 2021","3941.4","3947.4","3898.85","3917.45"
"15 Dec 2021","3955.9","3984.1","3910.4","3916.15"
"14 Dec 2021","3917.1","3962.65","3912.6","3956.50"
"13 Dec 2021","3991.25","4005.4","3922.5","3927.20"
"10 Dec 2021","3936.45","3951.25","3925.3","3943.65"
"09 Dec 2021","3957.3","3963.75","3928.85","3942.30"
"08 Dec 2021","3933.25","3959.1","3933.15","3942.30"
"07 Dec 2021","3885.55","3931.05","3878.7","3916.00"
"06 Dec 2021","3911.2","3916.75","3849.95","3854.55"
"03 Dec 2021","3923.35","3961.15","3900.85","3906.25"
"02 Dec 2021","3855.55","3930.45","3842.1","3918.85"
"01 Dec 2021","3849.9","3881.4","3803.45","3852.35"
"30 Nov 2021","3809","3891.9","3801.05","3820.05"
"29 Nov 2021","3819.2","3850.1","3739.65","3790.65"
"26 Nov 2021","3979.4","3980.9","3843.3","3851.95"
"25 Nov 2021","4027.15","4039.35","3970.5","4017.40"
"24 Nov 2021","4015.55","4075.55","4007.5","4020.15"
"23 Nov 2021","3893.65","3996.8","3888.45","3990.20"
"22 Nov 2021","4008.4","4013.05","3888.25","3907.20"
"18 Nov 2021","4065.55","4073.25","4000","4005.95"
"17 Nov 2021","4076.3","4100.4","4055.05","4061.70"
"16 Nov 2021","4134.15","4134.6","4074.55","4081.15"
"15 Nov 2021","4123.4","4148.4","4110.65","4117.45"
"12 Nov 2021","4133.95","4136.35","4084.1","4108.55"
"11 Nov 2021","4132.4","4137.7","4078.5","4100.70"
"10 Nov 2021","4170.55","4183.4","4146.75","4151.45"
